TITLE,POEM,POET,METER,URL,,,
পালকির গান,"পালকি চলে!
পালকি চলে!
গগন তলে
আগুন জ্বলে!

স্তব্ধ গাঁয়ে
আদুল গায়ে
যাচ্ছে কারা
রৌদ্রে সারা!

ময়রা মুদি
চক্ষু মুদি,
পাটায় বসে
ঢুলছে কষে!
দুধের চাঁছি
শুষছে মাছি,-
উড়ছে কতক
ভনভনিয়ে।–
আসছে কারা
হনহনিয়ে?

হাটের শেষে
রুক্ষ বেশে
ঠিক দুপুরে
ধায় হাটুরে!

কুকুরগুলো
শুঁকছে ধুলো,-
ধঁকছে কেহ
ক্লান্ত দেহ।

গঙ্গা ফড়িং
লাফিয়ে চলে;
বাঁধের দিকে
সূর্য ঢলে।

পালকি চলে রে!
অঙ্গ ঢলে রে!
আর দেরি কত?
আরও কত দূর?

",সত্যেন্দ্রনাথ দত্ত,স্বরবৃত্ত,,,,
কবর,"এই খানে তোর দাদির কবর ডালিম-গাছের তলে,
তিরিশ বছর ভিজায়ে রেখেছি দুই নয়নের জলে।
এতটুকু তারে ঘরে এনেছিনু সোনার মতন মুখ,
পুতুলের বিয়ে ভেঙে গেল বলে কেঁদে ভাসাইত বুক।
এখানে ওখানে ঘুরিয়া ফিরিতে ভেবে হইতাম সারা,
সারা বাড়ি ভরি এত সোনা মোর ছড়াইয়া দিল কারা!
সোনালি ঊষার সোনামুখ তার আমার নয়নে ভরি
লাঙল লইয়া খেতে ছুটিলাম গাঁয়ের ও-পথ ধরি।
যাইবার কালে ফিরে ফিরে তারে দেখে লইতাম কত
এ কথা লইয়া ভাবি-সাব মোরে তামাশা করিত শত।
এমনি করিয়া জানি না কখন জীবনের সাথে মিশে
ছোট-খাট তার হাসি ব্যথা মাঝে হারা হয়ে গেনু দিশে।",জসীম উদ্দিন,মাত্রাবৃত্ত,,,,
আঠারো বছর বয়স,"আঠারো বছর বয়স কী দুঃসহ

র্স্পধায় নেয় মাথা তোলবার ঝুঁকি,

আঠারো বছর বয়সেই অহরহ

বিরাট দুঃসাহসেরা দেয় যে উঁকি।


আঠারো বছর বয়সের নেই ভয়

পদাঘাতে চায় ভাঙতে পাথর বাধা,

এ বয়সে কেউ মাথা নোয়াবার নয়-

আঠারো বছর বয়স জানে না কাঁদা।


এ বয়স জানে রক্তদানের পুণ্য

বাষ্পের বেগে স্টিমারের মতো চলে,

প্রাণ দেওয়া-নেওয়া ঝুলিটা থাকে না শূন্য

সঁপে আত্মাকে শপথের কোলাহলে।


আঠরো বছর বয়স ভয়ঙ্কর

তাজা তাজা প্রাণে অসহ্য যন্ত্রণা,

এ বয়সে প্রাণ তীব্র আর প্রখর

এ বয়সে কানে আসে কত মন্ত্রণা।


আঠারো বছর বয়স যে দুর্বার

পথে প্রান্তরে ছোটায় বহু তুফান,

দুর্যোগে হাল ঠিক মতো রাখা ভার

ক্ষত-বিক্ষত হয় সহস্র প্রাণ।


আঠারো বছর বয়সে আঘাত আসে

অবিশ্র্রান্ত; একে একে হয় জড়ো,

এ বয়স কালো লক্ষ দীর্ঘশ্বাসে

এ বয়স কাঁপে বেদনায় থরোথরো।


",সুকান্ত ভট্টাচার্য,মাত্রাবৃত্ত,,,,
কুলি-মজুর,"দেখিনু সেদিন রেলে,
কুলি বলে এক বাবু সা’ব তারে ঠেলে দিলে নীচে ফেলে!
                         চোখ ফেটে এল জল,
এমনি করে কি জগৎ জুড়িয়া মার খাবে দুর্বল?
যে দধীচিদের হাড় দিয়ে ঐ বাষ্প-শকট চলে,
বাবু সা’ব এসে চড়িল তাহাতে, কুলিরা পড়িল তলে।
বেতন দিয়াছ?-চুপ রও যত মিথ্যাবাদীর দল!
কত পাই দিয়ে কুলিদের তুই কত ক্রোর পেলি বল্‌?
রাজপথে তব চলিছে মোটর, সাগরে জাহাজ চলে,
রেলপথে চলে বাষ্প-শকট, দেশ ছেয়ে গেল কলে,
বল ত এ-সব কাহাদের দান! তোমার অট্টালিকা
কার খুনে রাঙা? -ঠুলি খুলে দেখ, প্রতি ইটে আছে লিখা।
তুমি জান নাকো, কিন্তু পথের প্রতি ধূলিকণা জানে,
ঐ পথ, ঐ জাহাজ, শকট, অট্টালিকার মানে!
                         আসিতেছে শুভদিন,
দিনে দিনে বহু বাড়িয়াছে দেনা, শুধিতে হইবে ঋণ!",কাজী নজরুল ইসলাম,মাত্রাবৃত্ত,,,,
কপোতাক্ষ নদ,"সতত, হে নদ তুমি পড় মোর মনে
সতত তোমার কথা ভাবি এ বিরলে।
সতত যেমনি লোক নিশার স্বপনে
শোনে মায়া যন্ত্র ধ্বনি তব কলকলে
জুড়াই এ কান আমি ভ্রান্তির ছলনে।
বহু দেশ দেখিয়াছি বহু নদ দলে
কিন্তু এ স্নেহের তৃষ্ণা মেটে কার জলে
দুগ্ধস্রোতরূপি তুমি মাতৃভূমি স্তনে।
আর কি হে হবে দেখা যত দিন যাবে
প্রজারূপে রাজরূপ সাগরেরে দিতে
বারি রূপ কর তুমি এ মিনতি গাবে
বঙ্গজ জনের কানে সখে-সখারিতে।
নাম তার এ প্রবাসে মজি প্রেমভাবে
লইছে যে নাম তব বঙ্গের সঙ্গীতে।", মাইকেল মধুসূদন দত্ত,অক্ষরবৃত্ত,,,,
আবার আসিব ফিরে,"আবার আসিব ফিরে ধানসিঁড়িটির তীরে – এই বাংলায়
হয়তো মানুষ নয় – হয়তো বা শঙখচিল শালিকের বেশে,
হয়তো ভোরের কাক হয়ে এই কার্তিঁকের নবান্নের দেশে
কুয়াশার বুকে ভেসে একদিন আসিব কাঁঠাল ছায়ায়।
হয়তো বা হাঁস হবো – কিশোরীর – ঘুঙুর রহিবে লাল পায়
সারাদিন কেটে যাবে কলমীর গন্ধভরা জলে ভেসে ভেসে।
আবার আসিব আমি বাংলার নদী মাঠ ক্ষেত ভালোবেসে
জলঙ্গীর ঢেউ এ ভেজা বাংলারি সবুজ করুণ ডাঙ্গায়।

হয়তো দেখিবে চেয়ে সুদর্শন উড়িতেছে সন্ধ্যার বাতাসে।
হয়তো শুনিবে এক লক্ষীপেঁচা ডাকিতেছে শিমুলের ডালে।
হয়তো খৈয়ের ধান সরাতেছে শিশু এক উঠানের ঘাসে।
রূপসার ঘোলা জলে হয়তো কিশোর এক সাদা ছেঁড়া পালে
ডিঙ্গা বায় – রাঙ্গা মেঘে সাঁতরায়ে অন্ধকারে আসিতেছে নীড়ে,
দেখিবে ধবল বক; আমারে পাবে তুমি ইহাদের ভীড়ে।

",জীবনানন্দ দাস,অক্ষরবৃত্ত,,,,
জীবন,"যেখানে আসেনি চাষা কোনদিন কাস্তে হাতে লয়ে,
জীবনের বীজ কেউ বোনে নাই যেইখানে এসে,
নিরাশার মতো ফেঁপে চোখ বুজে পলাতক হয়ে
প্রেমের মৃত্যুর চোখে সেইখানে দেখিয়াছি শেষে।
তোমার চোখের ’পরে তাহার মুখেরে ভালোবেসে
এখন এসেছি আমি, - আর একবার কেঁপে উঠে
অনেক ইচ্ছার বেগে, - শান্তির মতন অবশেষে
সব ঢেউ ভেঙে নিয়ে ফেনার ফুলের মতো ফুটে,
      ঘুমাব বালির ’পরে, - জীবনের দিকে আর যাবনাকো ছুটে।",জীবনানন্দ দাস,অক্ষরবৃত্ত,,,,
বাংলার মুখ,"বাংলার মুখ আমি দেখিয়াছি, তাই আমি পৃথিবীর রূপ
খুঁজিতে যাই না আর : অন্ধকারে জেগে উঠে ডুমুরের গাছে
চেয়ে দেখি ছাতার মতো ব্ড় পাতাটির নিচে বসে আছে
ভোরের দয়েলপাখি – চারিদিকে চেয়ে দেখি পল্লবের স্তূপ
জাম-বট-কাঁঠালের-হিজলের-অশথের করে আছে চুপ;
ফণীমনসার ঝোপে শটিবনে তাহাদের ছায়া পড়িয়াছে;
মধুকর ডিঙা থেকে না জানি সে কবে চাঁদ চম্পার কাছে
এমনই হিজল-বট-তমালের নীল ছায়া বাংলার অপরূপ রূপ

দেখেছিল; বেহুলাও একদিন গাঙুড়ের জলে ভেলা নিয়ে –
কৃষ্ণা-দ্বাদশীর জোৎস্না যখন মরিয়া গেছে নদীর চড়ায় –
সোনালি ধানের পাশে অসংখ্য অশ্বত্থ বট দেখেছিল, হায়,
শ্যামার নরম গান শুনেছিল – একদিন অমরায় গিয়ে
ছিন্ন খঞ্জনার মতো যখন সে নেচেছিল ইন্দ্রের সভায়
বাংলার নদ-নদী-ভাঁটফুল ঘুঙুরের মতো তার কেঁদেছিল পায়।

",জীবনানন্দ দাস,অক্ষরবৃত্ত,,,,
যেদিন সরিয়া যাব তোমাদের কাছ থেকে,"যেদিন সরিয়া যাব তোমাদের কাছ থেকে – দূর কুয়াশায়
চ’লে যাবো, সেদিন মরণ এসে অন্ধকারে আমার শরীর
ভিক্ষা ক’রে লয়ে যাবে;- সেদিন দু’দও এই বাংলার তীর —
এই নীল বাংলার তীরে শুয়ে একা একা কি ভাবিব, হায়;-
সেদিন র’বে না কোনো ক্ষোভ মনে –এই সোঁদা ঘাসের ধুলায়
জীবন যে কাটিয়াছে বাংলায় – চারিদিকে বাঙালীর ভিড়
বহুদিন কীর্তন ভাসান গান রুপকথা যাত্রা পাঁচালীর
নরম নিবিড় ছন্দে যারা আজো শ্রাবণের জীবণের জীবন গোঙায়,

আমারে দিয়াছে তৃপ্তি; কোনো দিন রুপহীন প্রবাসের পথে
বাংলার মুখ ভুলে খাঁচার ভিতরে নষ্ট শুকের মতন
কাটাইনি দিন মাস,বেহুলার লহনার মধুর জগতে
তাদের পায়ের ধুলো – মাখা পথে বিকায়ে দিয়েছি আমি মন
বাঙালি নারীর কাছে – চাল- ধোয়া স্নিগ্ধ হাত, ধান – মাখা চুল,
হাতে তার শাড়িটির কস্তা পাড়; – ডাঁশা আম কামরাঙা কুল।

",জীবনানন্দ দাস,অক্ষরবৃত্ত,https://prokashoni.net/article/jibanananda-das-jedin-soriya-jabo/,,,
আমাদের ছোট নদী,"আমাদের ছোটো নদী চলে বাঁকে বাঁকে 
বৈশাখ মাসে তার হাঁটু জল থাকে। 
পার হয়ে যায় গোরু, পার হয় গাড়ি, 
দুই ধার উঁচু তার, ঢালু তার পাড়ি। 

চিক্ চিক্ করে বালি, কোথা নাই কাদা, 
একধারে কাশবন ফুলে ফুলে সাদা। 
কিচিমিচি করে সেথা শালিকের ঝাঁক, 
রাতে ওঠে থেকে থেকে শেয়ালের হাঁক। 

আর-পারে আমবন তালবন চলে, 
গাঁয়ের বামুন পাড়া তারি ছায়াতলে। 
তীরে তীরে ছেলে মেয়ে নাইবার কালে 
গামছায় জল ভরি গায়ে তারা ঢালে। 

সকালে বিকালে কভু নাওয়া হলে পরে 
আঁচল ছাঁকিয়া তারা ছোটো মাছ ধরে। 
বালি দিয়ে মাজে থালা, ঘটিগুলি মাজে, 
বধূরা কাপড় কেচে যায় গৃহকাজে। 

আষাঢ়ে বাদল নামে, নদী ভর ভর 
মাতিয়া ছুটিয়া চলে ধারা খরতর। 
মহাবেগে কলকল কোলাহল ওঠে, 
ঘোলা জলে পাকগুলি ঘুরে ঘুরে ছোটে। 
দুই কূলে বনে বনে পড়ে যায় সাড়া, 
বরষার উৎসবে জেগে ওঠে পাড়া।।",রবীন্দ্রনাথ ঠাকুর,মাত্রাবৃত্ত,https://banglarkobita.com/poem/famous/29,,,
